Date,      Genel, 1. Gıda ve Alkolsüz İçecekler, 2. Alkollü İçeçekler ve Tütün, 3. Giyim ve Ayakkabı," 4. Konut, Su, Elektrik, Gaz ve Diğer Yakıtlar "," 5. Mobilya, Ev Aletleri ve Ev Bakım Hizmetleri", 6. Sağlık, 7. Ulaştırma , 8. Haberleşme, 9. Eğlence ve Kültür,10. Eğitim,11. Lokanta ve Oteller,12. Çeşitli Mal ve Hizmetler
Apr-11,199.4254111,194.6126318,305.5716943,153.7448933,252.0240684,163.7342815,183.4994312,188.1136582,104.4246589,168.7786307,256.4393459,250.1092506,251.1460984
May-11,202.4906285,198.8814888,305.685884,155.9379409,253.5172559,164.8345119,183.7799398,192.3503808,104.4947426,171.0317795,260.6002533,258.990787,254.2772499
Jun-11,201.5084041,189.1626682,306.0284531,159.2888086,254.2530294,165.6918343,183.7799398,194.0958471,104.614886,173.8778621,265.0423031,259.3149307,255.3672077
Jul-11,203.5405924,191.0355659,305.9827773,154.3442355,255.1186453,167.0492613,184.2007029,199.3639816,104.604874,174.2780925,269.1844676,262.7508535,260.4008311
Aug-11,208.2484953,197.5822714,306.3938603,138.2982105,264.1859718,168.8210609,185.1980671,209.2814035,105.035388,172.8995212,282.3044459,264.9982496,265.2164629
Sep-11,209.9589205,204.466436,306.9419709,136.0915415,265.0515877,169.9212912,185.1980671,209.0433853,105.0754358,172.973638,283.6351865,266.4677009,267.654005
Oct-11,212.820919,205.529432,307.4672436,156.8097114,265.9821248,172.264639,185.4162405,211.8043956,105.1154836,175.1674933,286.5590674,266.0787285,269.0610414
Nov-11,216.6482069,208.4484527,346.5429663,162.7077834,290.4574143,172.4789696,186.6941134,207.1233725,105.1555314,174.3225625,281.9108465,266.5973583,271.9345666
Dec-11,218.189283,211.7386784,348.0731085,166.7533432,292.1670057,172.750455,186.6941134,207.9643698,105.2656629,174.8265564,283.3915298,268.5854395,270.2897211
Jan-12,216.6651418,211.9074079,349.0551401,140.3822868,293.5952719,174.0221498,185.462992,206.4727896,109.9512564,172.7364644,279.5117648,271.2001983,274.2730215
Feb-12,216.10629,214.2696213,349.0551401,136.4184555,292.0804441,174.9223383,186.304518,202.5851602,109.7910652,177.0204117,273.9638883,273.1234507,278.1770522
Mar-12,218.1215434,216.0581542,349.6946026,139.4968949,293.0975427,176.4226524,187.317466,205.2192275,114.5066945,178.1321628,276.4191985,274.4848541,277.2456337
Apr-12,222.18592,216.7161993,349.7859544,162.7895118,293.8116759,180.4234901,187.317466,212.7564681,114.5167065,179.807201,276.6441124,275.7166001,277.9986955
May-12,221.8810918,216.2775026,350.1056856,167.8158134,293.1624639,180.4663562,188.8135124,210.106533,114.5367304,180.6669551,274.3012591,279.4118378,278.5139483
Jun-12,219.7811639,205.1919729,350.334065,171.1258169,294.2877646,180.5520884,191.6030154,208.4086703,115.1274356,181.4674159,272.3145196,286.5213888,279.4850016
Jul-12,217.5796266,203.2684564,350.6766342,161.8904986,293.6385527,181.3236786,191.6030154,203.7435151,115.0973997,180.874482,268.8283539,287.9260114,281.5856476
Aug-12,220.0182525,213.4765925,350.767986,145.8444735,294.1795626,181.7666285,191.6030154,207.9326341,115.0473399,181.8231762,267.5913274,290.3462841,283.9241025
Sep-12,223.7947358,220.37763,350.8136619,139.4696521,295.5645481,181.738051,191.6030154,215.5016105,115.0773758,182.9793973,280.9362196,290.9297427,286.8372625
Oct-12,225.8777288,220.9850563,350.767986,164.2333817,296.6682083,183.0669007,191.6030154,215.6761571,115.0573519,182.3716401,282.6043311,291.0594001,286.6985406
Nov-12,226.0640127,221.1369128,351.0877172,174.2314991,296.8196911,182.8382814,195.3742988,211.0586055,122.9968298,181.9269396,281.3110761,286.2404643,288.6406473
Dec-12,226.0470778,221.2044047,351.5444761,175.2667265,297.7718686,183.0383233,195.3742988,209.0116496,122.9667939,187.0113477,282.9229591,287.3857719,286.6390884
Jan-13,228.3163547,228.0379503,351.7728555,161.1958065,303.3550911,183.9242231,198.8027383,213.2959758,122.94677,181.5415326,283.9725574,287.8827922,286.5796361
Feb-13,227.0801068,222.0480523,353.1431322,138.5161531,304.437111,184.0956875,198.8027383,218.7545248,122.9267461,182.2382299,284.9284415,288.4446412,287.6894114
Mar-13,227.5373492,225.0851837,353.4857013,142.2484204,303.7446183,185.8246209,199.7377672,216.0252503,122.8366386,184.4469087,283.4290154,288.7255657,288.7199169
Apr-13,229.4509932,225.2707862,353.8739464,169.4776258,304.0475838,186.7676755,199.8624378,215.9141752,123.3072003,185.573483,282.5855882,288.7039562,285.8860266
May-13,230.1114544,222.6892245,371.0937564,175.5255334,304.6102342,187.5535544,200.0026921,215.692025,123.3272242,186.0330068,284.1787285,295.5325827,284.3402683
Jun-13,233.4984349,222.6892245,371.0937564,180.0478427,305.8220964,188.3251445,200.4234551,225.21275,123.367272,186.4480605,299.1167608,297.3910063,282.4972487
Jul-13,233.295216,215.8388058,371.9615982,179.9524928,307.1854415,189.2110443,203.6025536,228.0848354,123.4373557,187.2336979,302.115613,297.7583692,284.280816
Aug-13,235.4798184,220.360757,371.7788947,158.675845,309.5875256,189.7825925,203.6025536,235.622076,123.7577381,187.9748653,306.4639486,298.125732,290.6025713
Sep-13,240.2893307,224.983946,371.9387603,154.7937422,314.2834918,193.111861,203.6025536,243.746428,124.7589333,190.5393043,332.1978488,305.38655,288.2641164
Oct-13,243.87953,233.7410082,371.8702465,169.6683256,316.7721375,194.2406688,204.0544842,244.0796534,124.7389094,190.5096576,336.0963566,305.3001117,289.2748046
Nov-13,244.7770799,229.5058972,371.664705,181.9003549,329.1937257,194.083493,204.0544842,243.7146922,124.8890887,191.295295,338.3829814,293.9766931,287.7488636
Dec-13,249.1462847,231.9524753,371.7103809,183.4940603,348.540241,194.6121751,204.7557559,246.8406636,124.7489214,197.9361546,343.274859,296.9804244,290.7611107
Jan-14,254.3622347,237.706152,371.8702465,168.0065132,355.7248529,199.6989544,207.4517561,258.852645,124.9091126,193.5780905,359.3187181,298.4282661,298.5295373
Feb-14,260.1878411,251.1032761,391.3966888,161.2366707,357.0881979,205.1715288,210.9892822,265.6599634,124.9391485,195.4161856,363.2921972,299.4006971,301.5814192
Mar-14,261.6611776,254.2416453,395.5760326,168.2516986,356.7419516,206.8290187,211.6749701,264.5492121,124.9391485,195.2086587,365.4101365,300.2434706,307.6653655
Apr-14,262.5587274,257.0594283,397.4259061,183.6302744,354.642833,208.6865505,211.6749701,262.2642381,124.8690648,197.0764004,357.2195216,304.9111393,305.5052673
May-14,260.5096042,253.1449034,397.2660405,186.449907,352.6951973,208.6293956,212.2515713,258.2496657,124.7589333,195.7571225,352.8524431,306.0132278,305.7430763
Jun-14,261.3224796,250.2090097,397.4944199,191.0539447,352.6086357,209.3009648,216.5371207,260.5505076,124.7689453,196.3204097,350.6407896,314.851545,309.1120368
Jul-14,261.9829408,248.7410628,397.7684753,188.88814,353.8637787,209.6867599,216.5371207,262.1214272,124.7889692,197.017107,352.6837576,329.5892769,308.3193402
Aug-14,263.5240169,258.8142153,397.9740168,170.1723179,354.3831483,209.7867808,217.5033173,263.8668935,124.8089931,199.1961391,351.353017,327.6660245,309.7461941
Sep-14,263.6933659,256.468875,397.8141511,171.6434306,357.2396807,210.4011952,217.5033173,263.2480464,124.8490409,198.9886122,358.6064907,329.7189344,310.6379778
Oct-14,268.3165943,264.3991625,397.859827,192.7293786,358.1702178,212.4301914,220.3395717,263.803422,130.7160448,200.2485967,362.4112844,337.4335536,312.1242839
Nov-14,266.5045597,264.7028757,397.6771235,193.0154282,355.4218873,214.1591249,223.1758262,256.9961036,130.9763555,200.4561236,356.9008935,335.8344448,313.2736939
Dec-14,265.3191165,261.7163631,397.3345543,192.4978145,354.7943158,214.7878279,224.0017685,252.9815312,131.2767141,206.9783963,358.1191772,337.2390674,315.1365309
Jan-15,262.9821,265.8671094,397.4259061,186.5452569,352.6519165,214.9878698,226.1990865,243.111713,131.3267738,202.4572754,352.9274144,333.3061242,319.8134408
Feb-15,259.6289893,268.3980522,400.760246,169.8862682,327.6788978,217.0740209,228.1158958,240.0809489,131.4369053,204.443604,357.5194068,334.3649935,323.4598452
Mar-15,264.2183479,274.2360937,416.6782931,175.3212122,330.4921495,219.8460298,228.1158958,246.0155341,131.7472758,206.667106,361.3616861,336.3098555,327.9583983
Apr-15,268.2149849,278.5386966,416.0845066,194.2004912,331.9204157,220.5890425,228.1158958,250.0459744,132.3479929,208.5052011,364.2293385,344.1757418,331.0499151
May-15,272.5503199,274.2023478,416.5184275,205.3428074,335.2097561,225.0328301,228.521075,263.676479,132.3680168,209.483542,374.2005219,346.5960144,331.3471763
Jun-15,273.752698,270.1190934,417.4319453,211.7176289,336.3134164,229.0765339,228.521075,267.230883,132.3980527,211.573634,378.0428013,349.4052595,332.0407858
Jul-15,270.3657175,256.9244447,418.1627595,206.2554421,334.7553078,230.819756,229.876867,267.1198079,132.3780288,211.4402238,374.1630363,352.3225525,330.8517409
Aug-15,272.533385,262.9312157,419.0991152,185.7007292,338.087929,233.5774762,232.1676879,269.8649502,132.4881602,213.8267827,386.5520443,354.3538528,335.5881031
Sep-15,280.6621381,273.780524,420.3780401,181.7777622,342.1779641,235.7350708,233.9286591,284.5427346,133.2991284,217.5622662,412.8294864,361.3553559,342.6827376
Oct-15,284.9297336,284.764816,421.8168306,201.1882763,345.8568317,238.4213476,237.4506015,282.9876829,133.4893554,217.1472125,410.7302899,363.0192934,346.0715155
Nov-15,282.254019,288.983054,422.456293,202.9181958,343.8442747,240.6789631,239.1180698,270.3251186,133.4192718,216.6283953,398.7723669,359.561761,342.9799988
Dec-15,285.9627626,298.533145,422.5704827,214.6326113,343.9741171,241.0361808,239.1180698,271.166116,133.4693315,223.8770121,400.271793,360.1020004,347.1218385
Jan-16,287.3175548,306.6490351,422.2050756,198.1779439,344.6882502,241.6363064,242.5932607,272.3562066,133.5193913,220.4676422,405.1449277,354.6347773,353.6814028
Feb-16,286.8433775,305.1473423,428.6910518,182.1182975,343.6927919,241.6220177,243.9334689,274.0540693,133.4993674,220.245292,405.875898,358.1139193,360.6571328
Mar-16,286.2337211,298.9549689,439.4705615,191.8303653,342.6540529,246.0658052,247.4709951,271.4676056,133.4092598,224.0252456,401.6400193,359.8426855,360.1418801
Apr-16,289.0787847,301.1315797,440.5211069,217.7382936,334.9500714,246.3801568,249.3254691,275.8788749,133.158961,225.1666433,401.3026484,366.6064833,361.4498294
May-16,291.280322,295.9853292,441.4803006,220.3399836,337.7416826,246.8945502,257.0706256,283.7969445,133.4893554,226.308041,407.1316673,369.4373379,365.0565989
Jun-16,292.6181793,288.1225335,442.2567907,226.8101549,342.8920972,247.6232742,257.8342326,289.0809469,133.8097379,226.5452146,406.4006971,382.5327419,371.2990846
Jul-16,295.1922844,296.1540588,480.9899442,220.6805189,338.8453429,247.6375629,257.8342326,289.9060764,133.8197499,228.6501299,402.8208173,389.382978,375.1634805
Aug-16,297.4107567,308.808773,481.058458,192.5659216,339.1699489,248.2376886,257.8342326,294.2856099,133.8097379,229.3023571,407.2628671,390.6579431,373.3402783
Sep-16,299.1889214,307.5264286,479.7566952,189.8552603,339.7975204,247.437521,257.8342326,300.489949,133.8097379,230.2955214,425.0123233,389.2749301,376.1147164
Oct-16,302.6944462,307.6782852,479.2542604,218.1060718,340.5549343,251.8527312,258.6757586,304.806011,133.9799411,230.5030483,429.1732307,388.6698619,374.3311491
Nov-16,307.0128463,303.5781578,478.8203395,222.2469815,360.355898,254.2818112,259.2211922,312.3115159,134.1100965,232.4300834,439.5005279,390.8092101,377.6208399
Dec-16,315.1077297,313.4825808,478.9573671,220.9529472,378.4256298,258.1826279,259.4549494,320.8484326,135.1313156,244.7482849,452.2456496,401.7220468,379.9989297
Jan-17,317.4796457,322.2540278,515.4864043,200.9880914,406.9734581,274.5959496,271.277851,313.5389837,138.4241499,221.4214468,471.3700758,405.224713,379.5041853
Feb-17,321.9323373,326.2657167,515.7358735,200.7545427,410.2915446,278.1668873,271.6252571,317.4578922,139.9480612,225.8515715,482.3800129,422.878136,381.7102163
Mar-17,323.8172191,331.2665893,516.4427027,199.2364763,408.6663594,279.7921217,279.9166829,316.0113152,146.6400195,224.9613072,476.970286,435.3578826,384.3841933
Apr-17,329.7996698,337.0368268,518.8542378,222.1047834,413.4741989,280.570403,285.4751807,317.1685768,146.6400195,231.5111088,478.2274761,465.0016504,386.8910468
May-17,331.0835748,330.9918161,519.4779106,224.3818829,413.2710508,282.836575,285.3825391,317.642002,146.494254,241.388803,477.5417361,479.3690898,387.4258422
Jun-17,333.3235791,323.5729392,521.0163037,227.4569404,410.5962668,285.9497001,286.6563615,317.9313174,148.2831934,262.6915557,478.2655728,484.7874672,388.963379
Jul-17,338.3226133,330.8544294,522.8873222,226.7562944,411.7474396,290.6651691,287.4901361,318.7466608,148.0181653,266.7613353,485.3134564,522.5762797,389.1973519
Aug-17,339.7431039,337.4489866,524.0515115,203.1484165,411.6458656,291.2145441,287.9301839,321.2978966,148.0049139,269.3049475,491.0279566,524.7436306,391.9381784
Sep-17,341.4640829,343.1642695,526.6293594,216.1882172,416.8600014,292.6108723,289.0650438,324.4014617,150.774457,257.6467247,511.2191908,499.9239665,396.0828427
Oct-17,344.6055524,348.8245978,528.9993162,237.3049093,422.1757113,295.3806381,290.5936307,327.9521506,149.9528701,253.0258291,521.5052912,491.0098618,399.425314
Nov-17,349.1128783,346.1043429,529.5814109,243.0852388,427.3559891,300.6683727,292.2843405,336.7631195,150.2576523,259.3000726,537.0106352,495.7990083,404.1716231
Dec-17,355.0133777,357.0677943,530.4961311,244.8563162,433.7551558,309.8246231,293.7897669,340.945042,151.2117533,267.9907478,540.5536253,497.931402,405.6088858
Jan-18,354.221181,358.2493191,531.2445385,235.6700686,433.8228718,317.9050141,296.9164219,340.9187406,151.0262337,259.1940888,538.4964052,495.5892646,410.2214961
Feb-18,359.9304605,370.5591592,531.1613821,222.1242458,436.870094,321.9795455,308.9366733,351.018478,152.3116197,263.9845585,543.7918421,497.8614874,412.327253
Mar-18,363.0446129,370.5316818,533.4066044,218.8156397,438.8000015,330.6322021,310.3262978,354.1483446,152.3116197,268.3934865,549.0491823,501.776702,430.4100224
Apr-18,373.0153641,377.208671,571.8664305,248.0286856,444.3865756,335.0500929,317.0659763,370.5867193,152.5103907,276.956981,563.0687562,510.0266185,433.1842735
May-18,386.6466103,382.676658,577.3963298,251.8043891,470.0848164,349.2193904,320.0768292,385.052489,152.9741898,293.6176413,576.8597501,554.9816721,440.0697643
Jun-18,398.010535,395.4810899,579.0594574,255.5411678,481.1563905,348.2350935,329.7578795,396.967023,153.0802011,310.7234337,590.8031307,589.4145864,443.8133321
Jul-18,406.9978697,405.400403,578.7268319,254.2955749,519.2466684,350.2952499,330.4990125,400.0968895,155.4654535,319.5200928,596.0223742,592.945271,447.891147
Aug-18,441.2535465,439.3898498,586.7514226,244.2919069,557.7093846,412.1915026,367.9493912,436.3665195,162.9789987,358.1194088,645.0908829,638.8092137,465.0045998
Sep-18,468.5979902,485.1395903,606.3763285,249.7413758,569.5935513,436.6844724,376.2176566,502.4093337,167.2194475,352.0359361,686.6162512,652.6522939,494.4183468
